date_time,Hospitals,Offices,Restaurants,Schools,Shops,SFH,MFH,temperature,signal
 01/03  05:00:00,0.000109039,0.000311732,0.000356587,0.000220131,0.000181761,0,0.000254361,1.8,45.49
 01/03  06:00:00,0.000119559,0,0,0.000223406,0.000181761,0,0.000257161,1.8,49.94
 01/03  07:00:00,0.000127659,6.59073E-07,3.79338E-08,3.39232E-05,4.43886E-05,0.000902841,0.000780457,1.8,54.97
 01/03  08:00:00,0.000294743,0.000278985,0,0.000390168,5.83458E-05,0.000715119,0.000553928,1.8,66.88
 01/03  09:00:00,0.000270562,0.00037674,0.000137131,0.000422282,8.99127E-05,0,8.4239E-05,2.1,69.47
 01/03  10:00:00,0.000254584,0.000442509,0.000102013,0.000462699,7.54924E-05,0,0.000160125,4,69.56
 01/03  11:00:00,0.000199026,0.000261755,7.32263E-05,0.000320729,9.93135E-05,0,0.00014492,5.9,69.63
 01/03  12:00:00,0.000150228,5.56982E-05,0.000159445,0.000353557,0.000126861,0,0.000114706,7.6,69.05
 01/03  13:00:00,0.00012987,1.37254E-05,0.000180308,0.000158272,0.000122571,0.000173567,0.000532432,8.8,68.95
 01/03  14:00:00,9.54531E-05,2.37585E-05,9.88811E-05,0.000217157,9.6661E-05,8.67837E-05,0.000297277,9.5,66.62
 01/03  15:00:00,0.000106903,3.40613E-05,6.55966E-08,0.000259593,6.18751E-05,0,0,9.5,66.11
 01/03  16:00:00,9.70295E-05,2.71864E-05,1.28484E-07,0.000245087,8.67897E-05,0,1.57384E-05,8.8,67.78
 01/03  17:00:00,0.000128109,2.38182E-05,1.71986E-07,0.000259005,0.000159671,0,9.56869E-05,7.6,68.65
 01/03  18:00:00,0.000120564,8.15214E-06,3.49267E-08,0.000180899,0.000133053,8.67837E-05,0.000566538,7.1,71.21
 01/03  19:00:00,0.000104012,0,2.59981E-05,0,0.000114758,0.000173567,0.000442068,6.6,71.79
 01/03  20:00:00,6.66725E-05,0,2.34202E-05,0,5.15433E-05,0.000173567,0.000340578,6.2,71.09
 01/03  21:00:00,8.2432E-05,0,0.000125443,0,0,0.000191571,0.000396183,5.7,69.65
 01/03  22:00:00,9.36537E-05,0,0.000219743,4.45235E-05,0.000181761,0.000299756,0.000449227,5.2,63.02
 01/03  23:00:00,7.03483E-05,3.34181E-05,0.000199364,8.59197E-05,0.000181761,0,1.3371E-05,4.7,61.02
 01/03  24:00:00,7.03483E-05,3.34181E-05,0.000231059,0.000116309,0.000181761,0,0.000113808,4.2,57.35
 01/04  01:00:00,7.03483E-05,3.34181E-05,0.000262473,0.000153386,0.000181761,0,0.000154032,3.5,52.59
 01/04  02:00:00,7.36826E-05,3.34181E-05,0.00029828,0.000198028,0.000181761,0,0.000186772,2.8,51.69
 01/04  03:00:00,8.66421E-05,6.01882E-05,0.00033259,0.000243361,0.000181761,0,0.000215396,2.1,49.95
 01/04  04:00:00,0.000104262,0.000130036,0.00035811,0.000279465,0.000181761,0,0.000237394,1.7,48.41
 01/04  05:00:00,0.000118604,0.000212238,0.000378934,0.000306896,0.000181761,0,0.000255074,1.4,48.12
 01/04  06:00:00,0.000217759,0.00028453,0.000399239,1.8742E-06,0,0,0.000262389,1,50.33
 01/04  07:00:00,0.000250552,1.71634E-05,1.60238E-06,0.000103028,6.62837E-05,0.000846088,0.000792069,0.7,54.03
 01/04  08:00:00,0.000287078,0.000212329,0,0.00048208,7.39581E-05,0.000685653,0.000566876,0.4,65.95
 01/04  09:00:00,0.000306828,0.000386409,0.000160617,0.000442411,5.52524E-05,0,9.35541E-05,0.5,69.92
 01/04  10:00:00,0.000284825,0.000615922,0.000146023,0.000572135,9.07624E-05,0,0.000185355,2.2,70
 01/04  11:00:00,0.0002836,0.000567852,0.00013824,0.000540999,8.7898E-05,0,0.000196124,3.4,69.93
 01/04  12:00:00,0.000273815,0.00020055,0.000274921,0.00038302,9.55576E-05,0,0.000191758,4.5,69.92
 01/04  13:00:00,0.000244467,1.6371E-05,0.000444657,0.000200943,0.000107815,0.000173567,0.000684932,5.4,69.37
 01/04  14:00:00,0.000252648,2.00406E-05,0.00020408,0.0003942,0.000118238,8.67837E-05,0.000440771,6.5,69.04
 01/04  15:00:00,0.000263915,0.000100193,1.71973E-07,0.000320931,0.000110527,0,3.35325E-05,6.6,67.64
 01/04  16:00:00,0.000251936,0.000146284,1.41992E-07,0.000352823,9.89613E-05,0,0.000137362,6,68.3
 01/04  17:00:00,0.000229444,7.84195E-05,1.17012E-07,0.000324205,0.000121694,0,0.000181327,4.9,69.39
 01/04  18:00:00,0.000243685,8.12497E-06,3.54408E-08,2.20045E-05,0.000148665,8.67837E-05,0.000703386,4.4,71.58
 01/04  19:00:00,0.00017849,0,0.000102443,0,9.12081E-05,0.000173567,0.000555161,3.8,72.19
 01/04  20:00:00,0.000134532,0,6.84275E-05,0,2.57938E-05,0.000173567,0.000442978,3.3,69.98
 01/04  21:00:00,0.000166898,0,0.000247396,0.000108704,3.40716E-06,0.000230854,0.000503597,2.7,69.76
 01/04  22:00:00,0.000168694,0,0.000426167,0,0,0.000403704,0.00056199,2.2,64.66
 01/04  23:00:00,0.000100501,0,5.88875E-05,0.000247886,0.000181761,0,8.04205E-05,1.6,64.74
 01/04  24:00:00,0.000121786,0.000161726,0.000397751,0.000288807,0.000181761,0,0.000212612,1.1,60.7
 01/05  01:00:00,0.000137573,0.000245787,0.000411917,0.000309314,0.000181761,0,0.000256323,0.7,63.06
 01/05  02:00:00,0.000153038,0.000295935,0.000417176,0.00032092,0.000181761,0,0.000292253,0.3,58.48
 01/05  03:00:00,0.00016014,0.000329422,0.000418025,0.000333923,0.000181761,0,0.000317534,-0.1,54.73
 01/05  04:00:00,0.000161783,0.000362968,0.000421403,0.000344552,0.000181761,0,0.00033392,-0.3,52.53
 01/05  05:00:00,0.000166611,0.000394754,0.000425739,0.000352545,0.000181761,0,0.000347834,-0.5,51.58
 01/05  06:00:00,0.00017222,0.000419294,0.000426886,0.000359801,0.000181761,0,0.000351213,-0.7,52.52
 01/05  07:00:00,0.000289879,7.72594E-06,1.01114E-06,0.0003663,0.000181761,0.000909153,0.00089875,-0.9,52.94
 01/05  08:00:00,0.000320788,0.000322177,3.89825E-08,0.000223608,5.46983E-05,0.000726639,0.000656549,-1,54.07
 01/05  09:00:00,0.000329209,0.000450654,0.000159975,0.00060725,0.00010018,0,0.000136611,-0.7,60.32
 01/05  10:00:00,0.000331029,0.000702395,0.000146103,0.000598358,9.42202E-05,0,0.000214317,1.2,65.05
 01/05  11:00:00,0.00031508,0.000825124,0.000169283,0.00051008,7.2665E-05,0,0.000163421,3.1,65.08
 01/05  12:00:00,0.000306152,0.000536615,0.000304166,0.000443753,0.000120755,0,2.19217E-05,5,64.8
 01/05  13:00:00,0.000291446,0.000266866,0.000472575,0.000272071,0.000100264,0.000173567,0.000438168,6.2,63.4
 01/05  14:00:00,0.000253533,0.000311698,0.00026091,0.000481087,0.000107318,8.67837E-05,0.000305647,6.5,60.07
 01/05  15:00:00,0.000299125,0.00057704,1.0801E-07,0.000402566,5.70011E-05,0,0,6.6,58.06
 01/05  16:00:00,0.000264779,0.000600178,1.59605E-07,0.000438817,0.000100932,0,4.47636E-05,6,57.95
 01/05  17:00:00,0.00025544,0.000417509,1.15994E-07,0.000428784,0.000114012,0,0.000141875,4.7,58.85
 01/05  18:00:00,0.000265362,0.000107423,0,0.000325884,0.00018864,0.000161259,0.000631039,4.3,66.13
 01/05  19:00:00,0.000212579,7.05849E-07,0.000134109,1.48465E-06,0.000115697,0.000263832,0.000530872,3.8,68.09
 01/05  20:00:00,0.000184941,0,9.62814E-05,0,1.96967E-05,0.000265778,0.000427594,3.3,68.01
 01/05  21:00:00,0.000183358,0,0.000283266,0,0,0.00048501,0.000492537,2.8,66.41
 01/05  22:00:00,0.000117748,0.000328408,0.000373092,0,0,0.0006412,0.000554391,2.4,59.9
 01/05  23:00:00,0.000140116,0.000404875,0.000398035,0,0,0,7.56266E-05,1.9,61.13
 01/05  24:00:00,0.000165481,0.000474156,0.000424908,0.000339599,0.000181761,0,0.00020374,1.4,61.12
 01/06  01:00:00,0.000168154,0.000494745,0.000420273,0.000358089,0.000181761,0,0.000249739,1,62.94
 01/06  02:00:00,0.000169286,0.000515543,0.000418334,0.000378168,0.000181761,0,0.000290671,0.5,58.94
 01/06  03:00:00,0.000180277,0.000559187,0.000429725,0.000404726,0.000181761,0,0.000320973,0,54.74
 01/06  04:00:00,0.000189806,0.000595919,0.000438914,0.000427478,0.000181761,0,0.000341993,-0.2,50.55
 01/06  05:00:00,0.000197061,0.000623955,0.000445064,0.000439529,0.000181761,0,0.000357075,-0.5,49.85
 01/06  06:00:00,0.000204113,0.00065093,0.000451717,0.000451396,0.000181761,0,0.000363017,-0.7,48.13
 01/06  07:00:00,0.000210454,4.88392E-05,1.10226E-06,0.000463163,0.000181761,0.001205303,0.000914944,-0.9,51.52
 01/06  08:00:00,0.000368614,6.24307E-05,1.26252E-07,0.000110988,6.92835E-05,0.000968127,0.000674209,-1,54.35
 01/06  09:00:00,0.00030866,3.25086E-05,0.00015989,0.000102869,5.90059E-05,0,0.000155379,-1,55.06
 01/06  10:00:00,0.000337198,7.6884E-06,0.000160806,9.91398E-05,8.2492E-05,0,0.000234427,0.4,57.53
 01/06  11:00:00,0.000315922,0,0.000177827,9.59339E-05,6.98844E-05,0,0.000177033,1.7,62.05
 01/06  12:00:00,0.000279734,0,0.000320354,0.000100637,8.66912E-05,0,7.76606E-05,3,62.65
 01/06  13:00:00,0.000292159,3.60013E-06,0.000529016,0.000102142,8.51026E-05,0.000245508,0.000487001,3.8,63.72
 01/06  14:00:00,0.000266662,0,0.000293323,7.79191E-05,9.98923E-05,0.000177628,0.000222051,4.3,60.95
 01/06  15:00:00,0.000272278,0,1.0264E-06,6.63237E-05,3.9522E-05,0,0,4.3,57.23
 01/06  16:00:00,0.000277941,0,0,6.96917E-05,7.4623E-05,0,0,3.7,55.98
 01/06  17:00:00,0.000280334,7.79438E-07,0,7.93389E-05,0.000105096,0,9.34713E-05,2.8,59.05
 01/06  18:00:00,0.000262329,3.86219E-05,1.8681E-06,9.23143E-05,0.000156312,0.000545967,0.000624638,2.4,64.6
 01/06  19:00:00,0.000234091,4.56732E-05,0.000152866,9.16191E-05,0.000112352,0.000600511,0.000521119,2,67.7
 01/06  20:00:00,0.000183189,3.00475E-06,0.000124755,3.4475E-05,2.53677E-05,0.000576893,0.000432823,1.6,67.29
 01/06  21:00:00,0.0002024,1.15911E-05,0.000253538,5.18281E-05,0,0.000773443,0.000506523,1.2,67.04
 01/06  22:00:00,0.000211296,1.74229E-05,0.000521336,6.11558E-05,3.0397E-05,0.000916699,0.000576397,0.8,61.24
 01/06  23:00:00,0.000162611,2.83653E-05,0.000105463,6.94084E-05,0,0,9.34847E-05,0.4,63.25
 01/06  24:00:00,0.000184557,0.000803626,0.000450399,0.000491975,0.000181761,0,0.000228443,0,61.07
 01/07  01:00:00,0.000192179,0.00080458,0.000458441,0.000496968,0.000181761,0,0.000278944,-0.3,52.94
 01/07  02:00:00,0.000197667,0.000803745,0.000459209,0.000499293,0.000181761,0,0.000320466,-0.6,51.23
 01/07  03:00:00,0.0002062,0.000812109,0.000463323,0.000502963,0.000181761,0,0.000351273,-0.8,47.74
 01/07  04:00:00,0.000215981,0.000835854,0.000475679,0.000502832,0.000181761,0,0.00037335,-1,46.64
 01/07  05:00:00,0.000218668,0.000826853,0.000471616,0.000507833,0.000181761,0,0.000389021,-1.1,46.84
 01/07  06:00:00,0.000220423,0.000812482,0.000465113,0.000506759,0.000181761,1.02596E-05,0.000394849,-1.2,49.89
 01/07  07:00:00,0.000298488,0.000157434,1.10133E-06,0.000504379,0.000181761,0.001524253,0.000953012,-1.3,59.14
 01/07  08:00:00,0.000311671,0.000151253,0,0.000145764,0,0.001216808,0.000706252,-1.4,71.19
 01/07  09:00:00,0.000289592,0.000106136,0,0.000132362,0,0,0.000167744,-1.3,74
 01/07  10:00:00,0.000269224,9.11044E-05,0,0.00012401,0,0,0.000220933,0.7,74.91
 01/07  11:00:00,0.000276528,5.48186E-05,0,0.000121062,0,0,6.87088E-05,2.6,75.48
 01/07  12:00:00,0.000289247,5.21029E-05,0,0.000116524,0,0,0,4.3,75.03
 01/07  13:00:00,0.000292259,8.06878E-05,0,0.000116807,0,0.000249323,6.69363E-05,5.5,72.42
 01/07  14:00:00,0.000255253,6.83532E-05,0,9.11506E-05,0,9.41501E-05,3.25738E-05,6.4,70.4
